Year,Team,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2016,Boston Celtics,0.439,0.335,0.483,0.7879999999999999,950,2733,1981,752,348,1127,1796,8669
2016,Portland Trail Blazers,0.45,0.37,0.49,0.754,948,2782,1748,562,380,1200,1782,8622
2016,Los Angeles Clippers,0.465,0.364,0.513,0.6920000000000001,721,2727,1873,709,460,1063,1746,8569
2016,Cleveland Cavaliers,0.46,0.36200000000000004,0.514,0.748,873,2777,1861,551,317,1114,1666,8555
2016,Washington Wizards,0.46,0.358,0.501,0.73,743,2688,2005,708,323,1186,1708,8534
2016,San Antonio Spurs,0.484,0.375,0.515,0.8029999999999999,770,2831,2010,677,485,1071,1433,8490
2016,Charlotte Hornets,0.439,0.36200000000000004,0.479,0.79,734,2869,1778,595,438,1030,1487,8479
2016,Atlanta Hawks,0.45799999999999996,0.35,0.512,0.7829999999999999,679,2772,2100,747,486,1226,1570,8433
2016,New Orleans Pelicans,0.44799999999999995,0.36,0.48200000000000004,0.7759999999999999,782,2712,1818,633,342,1102,1713,8423
2016,Toronto Raptors,0.451,0.37,0.483,0.777,836,2724,1536,636,449,1073,1610,8422
2016,Minnesota Timberwolves,0.46399999999999997,0.33799999999999997,0.496,0.792,821,2587,1916,656,375,1231,1696,8398
2016,Dallas Mavericks,0.444,0.344,0.495,0.794,751,2781,1813,560,306,1047,1595,8388
2016,Indiana Pacers,0.45,0.35100000000000003,0.486,0.764,847,2779,1741,742,391,1219,1641,8377
2016,Orlando Magic,0.455,0.35,0.4920000000000001,0.757,843,2709,1933,673,417,1155,1701,8369
2016,Detroit Pistons,0.439,0.345,0.48,0.6679999999999999,1021,2777,1594,573,304,1110,1557,8361
2016,Denver Nuggets,0.442,0.33799999999999997,0.48200000000000004,0.7659999999999999,941,2718,1858,609,395,1202,1723,8355
2016,Chicago Bulls,0.441,0.371,0.46399999999999997,0.787,907,2889,1870,495,470,1141,1545,8335
2016,Phoenix Suns,0.435,0.348,0.47200000000000003,0.7509999999999999,943,2733,1701,632,313,1410,1858,8271
2016,Miami Heat,0.47,0.336,0.508,0.7440000000000001,807,2811,1709,553,531,1155,1502,8204
2016,Memphis Grizzlies,0.44,0.331,0.47100000000000003,0.7829999999999999,916,2497,1697,724,350,1090,1783,8126
2016,Milwaukee Bucks,0.467,0.345,0.495,0.747,858,2559,1895,672,475,1247,1695,8122
2016,Brooklyn Nets,0.45299999999999996,0.35200000000000004,0.48100000000000004,0.757,863,2614,1829,627,332,1212,1476,8089
2016,New York Knicks,0.439,0.34600000000000003,0.47100000000000003,0.805,850,2788,1682,467,466,1099,1616,8065
2016,Utah Jazz,0.449,0.355,0.488,0.7440000000000001,880,2665,1555,631,425,1224,1655,8010
2016,Philadelphia 76ers,0.431,0.33899999999999997,0.47600000000000003,0.6940000000000001,777,2605,1765,680,495,1343,1780,7988
2016,Los Angeles Lakers,0.414,0.317,0.45399999999999996,0.7809999999999999,878,2645,1478,593,337,1124,1662,7982
2017,Golden State Warriors,0.495,0.38299999999999995,0.557,0.7879999999999999,770,2873,2491,785,555,1211,1585,9503
2017,Houston Rockets,0.462,0.35700000000000004,0.552,0.7659999999999999,892,2746,2070,670,352,1240,1634,9458
2017,Denver Nuggets,0.469,0.368,0.519,0.774,966,2837,2077,568,323,1226,1567,9161
2017,Cleveland Cavaliers,0.47,0.384,0.528,0.748,766,2821,1858,539,327,1121,1486,9048
2017,Washington Wizards,0.475,0.3720000000000001,0.515,0.784,843,2671,1956,693,336,1162,1745,8953
2017,Los Angeles Clippers,0.475,0.375,0.525,0.745,738,2790,1848,612,347,1062,1626,8911
2017,Boston Celtics,0.45399999999999996,0.359,0.515,0.807,744,2698,2069,617,340,1088,1686,8857
2017,Portland Trail Blazers,0.45899999999999996,0.375,0.499,0.78,830,2750,1733,574,408,1126,1736,8851
2017,Phoenix Suns,0.45,0.332,0.491,0.7759999999999999,976,2712,1604,673,399,1265,2030,8831
2017,Toronto Raptors,0.46399999999999997,0.363,0.505,0.7959999999999999,871,2676,1517,677,400,1041,1708,8762
2017,Oklahoma City Thunder,0.452,0.327,0.504,0.745,1002,2821,1721,648,408,1230,1715,8741
2017,Brooklyn Nets,0.444,0.33799999999999997,0.506,0.7879999999999999,721,2879,1756,593,387,1356,1726,8673
2017,Minnesota Timberwolves,0.467,0.349,0.507,0.799,938,2540,1940,654,370,1150,1646,8657
2017,San Antonio Spurs,0.469,0.391,0.5,0.797,821,2777,1954,655,484,1101,1498,8637
2017,Indiana Pacers,0.465,0.376,0.498,0.81,742,2702,1844,669,409,1130,1597,8618
2017,Charlotte Hornets,0.442,0.35100000000000003,0.488,0.815,721,2853,1891,571,390,942,1360,8601
2017,Los Angeles Lakers,0.45,0.34600000000000003,0.493,0.754,933,2636,1716,674,320,1243,1698,8575
2017,New Orleans Pelicans,0.45,0.35,0.495,0.75,703,2879,1869,638,453,1054,1490,8556
2017,New York Knicks,0.447,0.348,0.485,0.7879999999999999,983,2723,1786,581,455,1139,1668,8556
2017,Milwaukee Bucks,0.474,0.37,0.516,0.768,723,2589,1984,666,436,1145,1660,8497
2017,Miami Heat,0.455,0.365,0.496,0.706,872,2705,1742,588,469,1102,1680,8460
2017,Atlanta Hawks,0.451,0.341,0.501,0.728,842,2793,1938,672,397,1294,1491,8459
2017,Chicago Bulls,0.444,0.34,0.479,0.7979999999999999,999,2797,1851,643,393,1112,1455,8435
2017,Sacramento Kings,0.461,0.376,0.496,0.775,715,2652,1844,627,324,1201,1667,8430
2017,Philadelphia 76ers,0.442,0.34,0.496,0.7709999999999999,807,2706,1949,692,420,1366,1793,8400
2017,Detroit Pistons,0.449,0.33,0.4920000000000001,0.7190000000000001,908,2838,1732,574,310,973,1467,8309
2017,Orlando Magic,0.44,0.32799999999999996,0.488,0.747,807,2734,1820,580,396,1091,1584,8288
2017,Utah Jazz,0.466,0.3720000000000001,0.511,0.747,771,2774,1651,550,410,1118,1545,8258
2017,Memphis Grizzlies,0.435,0.354,0.473,0.784,886,2621,1744,653,344,1059,1840,8239
2017,Dallas Mavericks,0.44,0.355,0.489,0.8009999999999999,647,2516,1705,614,307,972,1567,8029
2018,Golden State Warriors,0.503,0.391,0.56,0.815,691,2877,2402,656,612,1267,1606,9304
2018,Houston Rockets,0.46,0.36200000000000004,0.5579999999999999,0.7809999999999999,739,2825,1767,699,392,1135,1597,9213
2018,New Orleans Pelicans,0.483,0.36200000000000004,0.54,0.772,712,2924,2195,657,485,1223,1570,9161
2018,Toronto Raptors,0.47200000000000003,0.358,0.541,0.794,800,2807,1995,626,500,1095,1784,9156
2018,Cleveland Cavaliers,0.47600000000000003,0.3720000000000001,0.54,0.779,694,2761,1916,582,312,1126,1523,9091
2018,Denver Nuggets,0.47,0.371,0.525,0.7659999999999999,902,2748,2058,627,404,1227,1533,9020
2018,Philadelphia 76ers,0.47200000000000003,0.369,0.526,0.752,893,2996,2221,682,420,1353,1813,9004
2018,Minnesota Timberwolves,0.47600000000000003,0.35700000000000004,0.519,0.804,848,2593,1861,689,344,1021,1495,8980
